consulta,motor,rank,doc_id,score,fuente,idioma,url,relevante
controversy referee decision,BM25,4,221,4.8012,Al Jazeera English,en,https://www.aljazeera.com/sports/2026/7/20/a-tournament-of-contradictions-what-did-we-learn-at-world-cup-2026,
controversy referee decision,Semantico,4,310,0.3625,Al Jazeera English,en,https://www.aljazeera.com/sports/2026/7/14/fifa-world-cup-meet-ismail-elfath-referee-for-england-argentina-semifinal,
controversy referee decision,BM25,5,328,0.0,Mental Floss,en,https://www.mentalfloss.com/history/history-norway-viking-row-soccer,
controversy referee decision,Semantico,5,114,0.3548,Marca,es,https://www.marca.com/futbol/mundial/2026/07/13/secretos-estadio-semifinal-cesped-estara-preparado-juego-rapido.html,
player injury world cup,BM25,1,137,12.5316,Marketingdirecto.com,es,https://www.marketingdirecto.com/anunciantes-general/publicaciones/espana-conquista-valor-marca-somos-lideres-finales-world-cup-brand-index-2026,
player injury world cup,Semantico,1,313,0.5289,Al Jazeera English,en,https://www.aljazeera.com/sports/2026/7/21/who-scored-the-most-goals-kept-clean-sheets-made-assists-fifa-world-cup-yellow-cards-saves,
player injury world cup,BM25,2,1,12.5316,Hipertextual,es,https://hipertextual.com/videojuegos/despiden-empleados-crearon-juego-oficial-mundial-2026-netflix/,
player injury world cup,Semantico,2,139,0.5122,El Mundo,es,https://www.elmundo.es/deportes/futbol/mundial-de-futbol/2026/07/15/6a57a4ecfdddff01518b45aa.html,
player injury world cup,BM25,3,327,0.0,Boredpanda.com,en,https://www.boredpanda.com/donald-trump-boo-football-world-cup-final-2026-trophy-ceremony/,
player injury world cup,Semantico,3,259,0.4922,RT,en,https://www.rt.com/news/643628-mirror-of-americas-decline/,
player injury world cup,BM25,4,326,0.0,NPR,en,https://www.npr.org/2026/08/06/nx-s1-5923233/infantino-crisis-meeting-fifa,
player injury world cup,Semantico,4,176,0.4807,Marca,es,https://www.marca.com/futbol/seleccion/2026/07/14/oyarzabal-vuela-altura-butragueno-villa.html,
player injury world cup,BM25,5,325,0.0,Al Jazeera English,en,https://www.aljazeera.com/video/newsfeed/2026/7/15/spain-fans-erupt-as-team-reaches-world-cup-final,
